run_id,scenario,firmware_file,function_addr,pc,count,first_step,last_step,possible_role,notes
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x567F,48,685,873,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x5680,48,686,874,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x5682,48,687,875,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x5683,48,688,876,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x5935,24,401,1004,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x5938,24,402,1005,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x593A,24,403,1006,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x593B,24,404,1007,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x593D,24,405,1008,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55AD,8,1,57,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55B0,8,2,58,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55B1,8,3,59,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55CF,8,4,60,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55D0,8,5,61,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55E1,8,70,350,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55E4,8,71,351,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55E5,8,72,352,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55E6,8,73,353,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55E9,8,74,354,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55EA,8,75,355,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55ED,8,76,356,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55EE,8,77,357,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55F1,8,78,358,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55F2,8,79,359,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55F5,8,97,377,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55F8,8,98,378,loop_hotspot,emulation_observed
packet_bridge_seeded_context_55AD_20260428T042929Z,packet_bridge_seeded_context,90CYE03_19_DKS.PZU,0x55AD,0x55F9,8,99,379,loop_hotspot,emulation_observed
