iteration,scenario,function_addr,pc,op,condition_source,condition_value,target_pc,taken,count,first_step,last_step,notes
2,packet_bridge_loop_force_r3_01,0x5715,0x5736,JNB,bit 0xE0,ACC.0,0x573C,yes,1,23,23,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x00,0x5765,yes,1,35,35,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x01,0x5765,no,1,46,46,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x02,0x5765,no,1,82,82,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x03,0x5765,no,1,118,118,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x04,0x5765,no,1,154,154,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x05,0x5765,no,1,190,190,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x06,0x5765,no,1,226,226,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5748,JZ,A,0x07,0x5765,no,1,262,262,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5766,CJNE,R0,#0x08,0x5741,no,1,289,289,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5766,CJNE,R0,#0x08,0x5741,yes,7,37,253,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x00,0x5791,yes,1,300,300,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x01,0x5791,no,1,311,311,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x02,0x5791,no,1,347,347,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x03,0x5791,no,1,383,383,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x04,0x5791,no,1,419,419,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x05,0x5791,no,1,455,455,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x06,0x5791,no,1,491,491,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x5774,JZ,A,0x07,0x5791,no,1,527,527,emulation_observed
2,packet_bridge_loop_force_r3_01,0x5715,0x58BA,JZ,A,0x13,0x58CA,no,1,1334,1334,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5736,JNB,bit 0xE0,ACC.0,0x573C,yes,1,23,23,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x00,0x5765,yes,1,35,35,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x01,0x5765,no,1,46,46,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x02,0x5765,no,1,82,82,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x03,0x5765,no,1,118,118,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x04,0x5765,no,1,154,154,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x05,0x5765,no,1,190,190,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x06,0x5765,no,1,226,226,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5748,JZ,A,0x07,0x5765,no,1,262,262,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,no,1,289,289,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,yes,7,37,253,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x00,0x5791,yes,1,300,300,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x01,0x5791,no,1,311,311,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x02,0x5791,no,1,347,347,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x03,0x5791,no,1,383,383,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x04,0x5791,no,1,419,419,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x05,0x5791,no,1,455,455,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x06,0x5791,no,1,491,491,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x5774,JZ,A,0x07,0x5791,no,1,527,527,emulation_observed
2,packet_bridge_loop_force_djnz_exit_candidate,0x5715,0x58BA,JZ,A,0x13,0x58CA,no,1,1334,1334,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5736,JNB,bit 0xE0,ACC.0,0x573C,yes,1,44,44,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x00,0x5765,yes,1,56,56,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x01,0x5765,no,1,67,67,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x02,0x5765,no,1,103,103,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x03,0x5765,no,1,139,139,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x04,0x5765,no,1,175,175,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x05,0x5765,no,1,211,211,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x06,0x5765,no,1,247,247,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5748,JZ,A,0x07,0x5765,no,1,283,283,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,no,1,310,310,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5766,CJNE,R0,#0x08,0x5741,yes,7,58,274,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x00,0x5791,yes,1,321,321,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x01,0x5791,no,1,332,332,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x02,0x5791,no,1,368,368,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x03,0x5791,no,1,404,404,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x04,0x5791,no,1,440,440,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x05,0x5791,no,1,476,476,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x06,0x5791,no,1,512,512,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x5774,JZ,A,0x07,0x5791,no,1,548,548,emulation_observed
2,packet_bridge_loop_force_jb_not_taken_candidate,0x5715,0x58BA,JZ,A,0x13,0x58CA,no,1,1355,1355,emulation_observed
